tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1786.00;6_2_2;200.00;15.42;468.00;1.00;4_3_0;5.10;0.00;tripinfo_467;1318.00;467;0;1094.90;1.12;0.00;1246.76;DEFAULT_VEHTYPE;;18;1108.00
1789.00;2_1_0;300.00;14.25;1327.00;1034.00;3_2_0;5.10;0.00;tripinfo_293;462.00;293;0;694.90;1.11;0.00;416.35;DEFAULT_VEHTYPE;;4;388.00
1791.00;3_4_0;300.00;13.14;1138.00;2.00;7_3_0;5.10;0.00;tripinfo_1136;653.00;1136;0;494.90;1.04;0.00;617.78;DEFAULT_VEHTYPE;;2;601.00
1796.00;6_5_1;300.00;13.70;216.00;0.00;6_2_0;5.10;0.00;tripinfo_216;1580.00;216;0;1494.90;1.03;0.00;1475.27;DEFAULT_VEHTYPE;;23;1301.00
1797.00;6_2_2;200.00;11.93;1752.00;0.00;5_6_0;5.10;0.00;tripinfo_1752;45.00;1752;0;494.90;0.93;0.00;5.58;DEFAULT_VEHTYPE;;0;0.00
1807.00;2_6_0;200.00;13.56;1187.00;0.00;2_6_0;5.10;0.00;tripinfo_1187;620.00;1187;0;194.90;1.00;0.00;605.31;DEFAULT_VEHTYPE;;1;598.00
1807.00;2_3_2;400.00;4.79;833.00;1.00;1_2_0;5.10;0.00;tripinfo_832;974.00;832;0;694.90;0.97;0.00;922.55;DEFAULT_VEHTYPE;;13;794.00
1813.00;6_7_0;400.00;13.05;1757.00;0.00;5_6_0;5.10;0.00;tripinfo_1757;56.00;1757;0;694.90;1.00;0.00;5.47;DEFAULT_VEHTYPE;;0;0.00
1828.00;3_4_1;300.00;14.11;1031.00;0.00;2_3_0;5.10;0.00;tripinfo_1031;797.00;1031;0;694.90;1.09;0.00;750.22;DEFAULT_VEHTYPE;;10;648.00
1836.00;7_6_0;400.00;14.00;190.00;0.00;5_6_0;5.10;0.00;tripinfo_190;1646.00;190;0;1494.90;1.04;0.00;1542.13;DEFAULT_VEHTYPE;;25;1355.00
1850.00;3_4_1;300.00;15.86;1024.00;0.00;5_6_0;5.10;0.00;tripinfo_1024;826.00;1024;0;1194.90;1.19;0.00;752.95;DEFAULT_VEHTYPE;;10;618.00
1851.00;7_8_0;300.00;14.43;1799.00;0.00;6_7_0;5.10;0.00;tripinfo_1799;52.00;1799;0;694.90;1.12;0.00;6.55;DEFAULT_VEHTYPE;;0;0.00
1858.00;3_2_1;400.00;4.07;1288.00;1251.00;3_2_0;5.10;0.00;tripinfo_37;570.00;37;0;394.90;1.18;0.00;545.74;DEFAULT_VEHTYPE;;4;528.00
1869.00;2_3_2;400.00;6.80;870.00;0.00;1_2_0;5.10;0.00;tripinfo_870;999.00;870;0;694.90;0.97;0.00;946.95;DEFAULT_VEHTYPE;;18;790.00
1871.00;6_7_0;400.00;13.22;1838.00;0.00;6_7_0;5.10;0.00;tripinfo_1838;33.00;1838;0;394.90;1.01;0.00;4.41;DEFAULT_VEHTYPE;;0;0.00
1871.00;2_3_2;400.00;6.72;1086.00;0.00;5_6_0;5.10;0.00;tripinfo_1086;785.00;1086;0;894.90;0.99;0.00;720.14;DEFAULT_VEHTYPE;;12;571.00
1873.00;6_7_0;400.00;13.97;1841.00;1.00;6_7_0;5.10;0.00;tripinfo_1840;32.00;1840;0;394.90;1.01;0.00;3.85;DEFAULT_VEHTYPE;;0;0.00
1874.00;6_2_2;200.00;15.25;1459.00;1.00;8_7_0;5.10;0.00;tripinfo_1458;415.00;1458;0;894.90;1.15;0.00;358.73;DEFAULT_VEHTYPE;;4;333.00
1874.00;6_5_0;300.00;14.20;1277.00;0.00;1_2_0;5.10;0.00;tripinfo_1277;597.00;1277;0;794.90;1.09;0.00;543.86;DEFAULT_VEHTYPE;;2;521.00
1875.00;3_4_1;300.00;13.51;1029.00;913.00;7_6_0;5.10;0.00;tripinfo_116;846.00;116;0;1294.90;1.02;0.00;753.89;DEFAULT_VEHTYPE;;11;627.00
1876.00;2_1_0;300.00;13.16;1330.00;1030.00;3_2_0;5.10;0.00;tripinfo_300;546.00;300;0;694.90;0.97;0.00;493.91;DEFAULT_VEHTYPE;;5;461.00
1879.00;2_6_0;200.00;5.10;1543.00;0.00;1_2_0;5.10;0.00;tripinfo_1543;336.00;1543;0;494.90;0.94;0.00;298.07;DEFAULT_VEHTYPE;;3;275.00
1879.00;2_3_2;400.00;4.88;1213.00;0.00;6_2_0;5.10;0.00;tripinfo_1213;666.00;1213;0;594.90;0.85;0.00;615.68;DEFAULT_VEHTYPE;;13;470.00
1882.00;2_1_1;300.00;12.33;1816.00;0.00;5_6_0;5.10;0.00;tripinfo_1816;66.00;1816;0;794.90;0.98;0.00;7.26;DEFAULT_VEHTYPE;;0;0.00
1892.00;3_4_1;300.00;13.32;1109.00;0.00;2_3_0;5.10;0.00;tripinfo_1109;783.00;1109;0;694.90;0.96;0.00;730.45;DEFAULT_VEHTYPE;;13;600.00
